isolabel_ext,synonym
UY-CA-CumbresCarrasco,uy;ca;cco
UY-CA-CumbresCarrasco,uy;canelones;cumbres.carrasco
UY-CA-DrFranciscoSoca,uy;ca;dr.francisco.soca
UY-CA-DrFranciscoSoca,uy-605
UY-CA-DrFranciscoSoca,co-c-dfs
UY-CA-DrFranciscoSoca,uy;canelones;dr.francisco.soca
UY-CA-DrFranciscoSoca,uy;ca;dfs
UY-CA-ElBosque,uy;ca;ebe
UY-CA-ElBosque,uy-68
UY-CA-ElBosque,co-c-ebe
UY-CA-ElBosque,uy;canelones;el.bosque
UY-CA-ElBosque,uy;ca;el.bosque
UY-CA-ElColorado,uy-147
UY-CA-ElColorado,uy;canelones;el.colorado
UY-CA-ElColorado,uy;ca;el.colorado
UY-CA-ElColorado,uy;ca;eco
UY-CA-ElGaleon,uy;canelones;el.galeon
UY-CA-ElGaleon,co-c-egn
UY-CA-ElGaleon,uy-77
UY-CA-ElGaleon,uy;ca;el.galeon
UY-CA-ElGaleon,uy;ca;egn
UY-CA-ElMonte,uy-644
UY-CA-ElMonte,uy;canelones;el.monte
UY-CA-ElMonte,co-c-eme
UY-CA-ElMonte,uy;ca;eme
UY-CA-ElMonte,uy;ca;el.monte
UY-CA-ElPinar,co-c-epr
UY-CA-ElPinar,uy;ca;el.pinar
UY-CA-ElPinar,uy-54
UY-CA-ElPinar,uy;canelones;el.pinar
UY-CA-ElPinar,uy;ca;epr
UY-CA-EmpalmeOlmos,uy;ca;empalme.olmos
UY-CA-EmpalmeOlmos,uy-95
UY-CA-EmpalmeOlmos,co-c-eos
UY-CA-EmpalmeOlmos,uy;ca;eos
UY-CA-EmpalmeOlmos,uy;canelones;empalme.olmos
UY-CA-EstacionAtlantida,uy;ca;eaa
UY-CA-EstacionAtlantida,co-c-eaa
UY-CA-EstacionAtlantida,uy;ca;estacion.atlantida
UY-CA-EstacionAtlantida,uy-97
UY-CA-EstacionAtlantida,uy;canelones;estacion.atlantida
UY-CA-EstacionFloresta,uy-90
UY-CA-EstacionFloresta,uy;ca;estacion.floresta
UY-CA-EstacionFloresta,uy;ca;elf
UY-CA-EstacionFloresta,uy;canelones;estacion.floresta
UY-CA-EstacionFloresta,co-c-elf
UY-CA-EstacionMigues,uy;canelones;estacion.migues
UY-CA-EstacionMigues,uy;ca;ems
UY-CA-EstacionMigues,uy-119
UY-CA-EstacionMigues,uy;ca;estacion.migues
UY-CA-EstacionMigues,co-c-ems
UY-CA-EstacionPedrera,uy;ca;enp
UY-CA-EstacionPedrera,co-c-enp
UY-CA-EstacionPedrera,uy;canelones;estacion.pedrera
UY-CA-EstacionPedrera,uy-151
UY-CA-EstacionPedrera,uy;ca;estacion.pedrera
UY-CA-EstacionPiedrasAfilar,uy;ca;epl
UY-CA-EstacionPiedrasAfilar,uy-99
UY-CA-EstacionPiedrasAfilar,uy;canelones;estacion.piedras.afilar
UY-CA-EstacionPiedrasAfilar,uy;ca;estacion.piedras.afilar
UY-CA-EstacionTapia,uy-120
UY-CA-EstacionTapia,co-c-tap
UY-CA-EstacionTapia,uy;ca;estacion.tapia
UY-CA-EstacionTapia,uy;ca;tap
UY-CA-EstacionTapia,uy;canelones;estacion.tapia
UY-CA-EstanquePando,uy;ca;estanque.pando
UY-CA-EstanquePando,uy-37
UY-CA-EstanquePando,uy;canelones;estanque.pando
UY-CA-EstanquePando,uy;ca;epo
UY-CA-EstanquePando,co-c-epo
UY-CA-FortinSantaRosa,uy-69
UY-CA-FortinSantaRosa,uy;ca;fsr
UY-CA-FortinSantaRosa,co-c-fsr
UY-CA-FortinSantaRosa,uy;canelones;fortin.santa.rosa
UY-CA-FortinSantaRosa,uy;ca;fortin.santa.rosa
UY-CA-FraccCnoAndaluzYR84,co-c-fca
UY-CA-FraccCnoAndaluzYR84,uy;ca;fracc.cno.andaluz.y.r.84
UY-CA-FraccCnoAndaluzYR84,uy-102
UY-CA-FraccCnoAndaluzYR84,uy;ca;fca
UY-CA-FraccCnoAndaluzYR84,uy;canelones;fracc.cno.andaluz.y.r.84
UY-CA-FraccProgreso,uy;ca;fracc.progreso
UY-CA-FraccProgreso,uy;canelones;fracc.progreso
UY-CA-FraccProgreso,uy;ca;fpo
UY-CA-FraccProgreso,co-c-fpo
UY-CA-FraccProgreso,uy-136
UY-CA-FraccSobreRuta74,uy;ca;fracc.sobre.ruta.74
UY-CA-FraccSobreRuta74,uy-43
UY-CA-FraccSobreRuta74,co-c-fr7
UY-CA-FraccSobreRuta74,uy;canelones;fracc.sobre.ruta.74
UY-CA-FraccSobreRuta74,uy;ca;fr7
UY-CA-GuazuVira,uy-85
UY-CA-GuazuVira,uy;canelones;guazu..vira
UY-CA-GuazuVira,uy;ca;gra
UY-CA-GuazuVira,uy;ca;guazu..vira
UY-CA-HarasLago,uy;canelones;haras.lago
UY-CA-HarasLago,co-c-hlo
UY-CA-HarasLago,uy;ca;haras.lago
UY-CA-HarasLago,uy-30
UY-CA-HarasLago,uy;ca;hlo
UY-CA-HuertaHorneros,uy;ca;huerta.horneros
UY-CA-HuertaHorneros,uy-108
UY-CA-HuertaHorneros,uy;ca;hhs
UY-CA-HuertaHorneros,co-c-hhs
UY-CA-HuertaHorneros,uy;canelones;huerta.horneros
UY-CA-InstitutoAdventista,uy;ca;via
UY-CA-InstitutoAdventista,uy-137
UY-CA-InstitutoAdventista,uy;ca;instituto.adventista
UY-CA-InstitutoAdventista,uy;canelones;instituto.adventista
UY-CA-JardinesPando,uy;ca;jpo
UY-CA-JardinesPando,uy;canelones;jardines.pando
UY-CA-JardinesPando,uy-46
UY-CA-JardinesPando,co-c-jpo
UY-CA-JardinesPando,uy;ca;jardines.pando
UY-CA-Jaureguiberry,uy-88
UY-CA-Jaureguiberry,uy;ca;jry
UY-CA-Jaureguiberry,uy;ca;jaureguiberry
UY-CA-Jaureguiberry,uy;canelones;jaureguiberry
UY-CA-Jaureguiberry,co-c-jry
UY-CA-JoaquinSuarez,uy;ca;jsz
UY-CA-JoaquinSuarez,uy-33
UY-CA-JoaquinSuarez,co-c-jsz
UY-CA-JoaquinSuarez,uy;canelones;joaquin.suarez
UY-CA-JoaquinSuarez,uy;ca;joaquin.suarez
UY-CA-Juanico,uy;canelones;juanico
UY-CA-Juanico,uy;ca;juanico
UY-CA-Juanico,uy;ca;joo
UY-CA-Juanico,uy-126
UY-CA-Juanico,co-c-joo
UY-CA-LaAsuncion,uy;ca;ban
UY-CA-LaAsuncion,uy;ca;la.asuncion
UY-CA-LaAsuncion,uy-81
UY-CA-LaAsuncion,co-c-ban
UY-CA-LaAsuncion,uy;canelones;la.asuncion
UY-CA-LaCantera,uy;ca;la.cantera
UY-CA-LaCantera,co-c-lct
UY-CA-LaCantera,uy-647
UY-CA-LaCantera,uy;ca;lct
UY-CA-LaCantera,uy;canelones;la.cantera
UY-CA-LaFloresta,uy-48
UY-CA-LaFloresta,uy;ca;la.floresta
UY-CA-LaFloresta,uy;ca;lfa
UY-CA-LaFloresta,co-c-lfa
UY-CA-LaFloresta,uy;canelones;la.floresta
UY-CA-LaHorqueta,uy;canelones;la.horqueta
UY-CA-LaHorqueta,uy-107
UY-CA-LaHorqueta,co-c-lhe
UY-CA-LaHorqueta,uy;ca;lhe
UY-CA-LaHorqueta,uy;ca;la.horqueta
UY-CA-LaJuana,uy-645
UY-CA-LaJuana,uy;ca;ljn
UY-CA-LaJuana,uy;canelones;la.juana
UY-CA-LaJuana,uy;ca;la.juana
UY-CA-LaJuana,co-c-ljn
UY-CA-LaLucha,uy;canelones;la.lucha
UY-CA-LaLucha,uy;ca;bll
UY-CA-LaLucha,uy;ca;la.lucha
UY-CA-LaLucha,uy-138
UY-CA-LaLucha,co-c-bll
UY-CA-LaMontanesa,uy-643
UY-CA-LaMontanesa,uy;canelones;la.montanesa
UY-CA-LaMontanesa,co-c-lmo
UY-CA-LaMontanesa,uy;ca;la.montanesa
UY-CA-LaMontanesa,uy;ca;lmo
UY-CA-LaPaz,uy-124
UY-CA-LaPaz,uy;canelones;la.paz
UY-CA-LaPaz,uy;ca;lpz
UY-CA-LaPaz,uy;ca;la.paz
UY-CA-LaTahona,uy;ca;adt
UY-CA-LaTahona,uy;canelones;la.tahona
UY-CA-LaTahona,uy-723
UY-CA-LaTahona,co-c-adt
UY-CA-LaTahona,uy;ca;la.tahona
UY-CA-LaTuna,co-c-lta
UY-CA-LaTuna,uy-84
UY-CA-LaTuna,uy;ca;lta
UY-CA-LaTuna,uy;canelones;la.tuna
UY-CA-LaTuna,uy;ca;la.tuna
UY-CA-Lagomar,uy;canelones;lagomar
UY-CA-Lagomar,uy;ca;lagomar
UY-CA-Lagomar,co-c-lag
UY-CA-Lagomar,uy;ca;lag
UY-CA-Lagomar,uy-57
UY-CA-LasBrujas,uy-145
UY-CA-LasBrujas,uy;ca;lbs
UY-CA-LasBrujas,co-c-lbs
UY-CA-LasBrujas,uy;canelones;las.brujas
UY-CA-LasBrujas,uy;ca;las.brujas
UY-CA-LasHigueritas,uy;ca;lhs
UY-CA-LasHigueritas,uy;canelones;las.higueritas
UY-CA-LasHigueritas,co-c-lhs
UY-CA-LasHigueritas,uy-32
UY-CA-LasHigueritas,uy;ca;las.higueritas
UY-CA-LasPiedras,uy;ca;las.piedras
UY-CA-LasPiedras,uy;canelones;las.piedras
UY-CA-LasPiedras,uy;ca;lps
UY-CA-LasPiedras,uy-157
UY-CA-LasToscas,uy-49
UY-CA-LasToscas,uy;ca;las.toscas
UY-CA-LasToscas,uy;ca;lts
UY-CA-LasToscas,co-c-lts
UY-CA-LasToscas,uy;canelones;las.toscas
UY-CA-LomasCarrasco,uy-75
UY-CA-LomasCarrasco,uy;ca;lomas.carrasco
UY-CA-LomasCarrasco,uy;ca;ldc
UY-CA-LomasCarrasco,co-c-ldc
UY-CA-LomasCarrasco,uy;canelones;lomas.carrasco
UY-CA-LomasSolymar,co-c-lds
UY-CA-LomasSolymar,uy;ca;lomas.solymar
UY-CA-LomasSolymar,uy;canelones;lomas.solymar
UY-CA-LomasSolymar,uy;ca;lds
UY-CA-LomasSolymar,uy-70
UY-CA-LosCerrillos,uy;canelones;los.cerrillos
UY-CA-LosCerrillos,uy;ca;cer
UY-CA-LosCerrillos,uy-148
