selected,abbrevref_id,isolabel_ext,abbrev,insert_date,default_abbrev
t,5,UY-AR-Topador,uy;artigas;topador,2023-11-30,f
t,5,UY-CA,UY-16577,2023-11-30,f
t,5,UY-CA,uy;ca,2023-11-30,f
t,5,UY-CA,uy;canelones,2023-11-30,f
t,5,UY-CA-18Mayo,UY-152,2023-11-30,f
t,3,UY-CA-18Mayo,UY-CA-1DM,2022-10-07,f
t,5,UY-CA-18Mayo,uy;ca;18.mayo,2023-11-30,f
t,5,UY-CA-18Mayo,uy;ca;1dm,2023-11-30,f
t,5,UY-CA-18Mayo,uy;canelones;18.mayo,2023-11-30,f
t,5,UY-CA-AeropuertoInternacionalCarrasco,UY-52,2023-11-30,f
t,3,UY-CA-AeropuertoInternacionalCarrasco,UY-CA-AIC,2022-10-07,f
t,5,UY-CA-AeropuertoInternacionalCarrasco,uy;ca;aeropuerto.internacional.carrasco,2023-11-30,f
t,5,UY-CA-AeropuertoInternacionalCarrasco,uy;ca;aic,2023-11-30,f
t,5,UY-CA-AeropuertoInternacionalCarrasco,uy;canelones;aeropuerto.internacional.carrasco,2023-11-30,f
t,5,UY-CA-AguasCorrientes,UY-129,2023-11-30,f
t,3,UY-CA-AguasCorrientes,UY-CA-ACS,2022-10-07,f
t,5,UY-CA-AguasCorrientes,uy;ca;acs,2023-11-30,f
t,5,UY-CA-AguasCorrientes,uy;ca;aguas.corrientes,2023-11-30,f
t,5,UY-CA-AguasCorrientes,uy;canelones;aguas.corrientes,2023-11-30,f
t,5,UY-CA-Araminda,UY-61,2023-11-30,f
t,3,UY-CA-Araminda,UY-CA-ARA,2022-10-07,f
t,5,UY-CA-Araminda,uy;ca;ara,2023-11-30,f
t,5,UY-CA-Araminda,uy;ca;araminda,2023-11-30,f
t,5,UY-CA-Araminda,uy;canelones;araminda,2023-11-30,f
t,5,UY-CA-Argentino,UY-89,2023-11-30,f
t,3,UY-CA-Argentino,UY-CA-ANO,2022-10-07,f
t,5,UY-CA-Argentino,uy;ca;ano,2023-11-30,f
t,5,UY-CA-Argentino,uy;ca;argentino,2023-11-30,f
t,5,UY-CA-Argentino,uy;canelones;argentino,2023-11-30,f
t,5,UY-CA-Atlantida,UY-39,2023-11-30,f
t,3,UY-CA-Atlantida,UY-CA-ADA,2022-10-07,f
t,5,UY-CA-Atlantida,uy;ca;ada,2023-11-30,f
t,5,UY-CA-Atlantida,uy;ca;atlantida,2023-11-30,f
t,5,UY-CA-Atlantida,uy;canelones;atlantida,2023-11-30,f
t,5,UY-CA-BarraCarrasco,UY-44,2023-11-30,f
t,3,UY-CA-BarraCarrasco,UY-CA-BDC,2022-10-07,f
t,5,UY-CA-BarraCarrasco,uy;ca;barra.carrasco,2023-11-30,f
t,5,UY-CA-BarraCarrasco,uy;ca;bdc,2023-11-30,f
t,5,UY-CA-BarraCarrasco,uy;canelones;barra.carrasco,2023-11-30,f
t,5,UY-CA-BarraPedrera,UY-123,2023-11-30,f
t,3,UY-CA-BarraPedrera,UY-CA-BPA,2022-10-07,f
t,5,UY-CA-BarraPedrera,uy;ca;barra.pedrera,2023-11-30,f
t,5,UY-CA-BarraPedrera,uy;ca;bpa,2023-11-30,f
t,5,UY-CA-BarraPedrera,uy;canelones;barra.pedrera,2023-11-30,f
t,5,UY-CA-BarrioCinacina,UY-71,2023-11-30,f
t,3,UY-CA-BarrioCinacina,UY-CA-BLC,2022-10-07,f
t,5,UY-CA-BarrioCinacina,uy;ca;barrio.cinacina,2023-11-30,f
t,5,UY-CA-BarrioCinacina,uy;ca;blc,2023-11-30,f
t,5,UY-CA-BarrioCinacina,uy;canelones;barrio.cinacina,2023-11-30,f
t,5,UY-CA-BarrioCopola,UY-111,2023-11-30,f
t,3,UY-CA-BarrioCopola,UY-CA-BCA,2022-10-07,f
t,5,UY-CA-BarrioCopola,uy;ca;barrio.copola,2023-11-30,f
t,5,UY-CA-BarrioCopola,uy;ca;bca,2023-11-30,f
t,5,UY-CA-BarrioCopola,uy;canelones;barrio.copola,2023-11-30,f
t,5,UY-CA-BarrioRemanso,UY-142,2023-11-30,f
t,3,UY-CA-BarrioRemanso,UY-CA-BRO,2022-10-07,f
t,5,UY-CA-BarrioRemanso,uy;ca;barrio.remanso,2023-11-30,f
t,5,UY-CA-BarrioRemanso,uy;ca;bro,2023-11-30,f
t,5,UY-CA-BarrioRemanso,uy;canelones;barrio.remanso,2023-11-30,f
t,5,UY-CA-BarrosBlancos,UY-154,2023-11-30,f
t,3,UY-CA-BarrosBlancos,UY-CA-BBS,2022-10-07,f
t,5,UY-CA-BarrosBlancos,uy;ca;barros.blancos,2023-11-30,f
t,5,UY-CA-BarrosBlancos,uy;ca;bbs,2023-11-30,f
t,5,UY-CA-BarrosBlancos,uy;canelones;barros.blancos,2023-11-30,f
t,5,UY-CA-BelloHorizonte,UY-62,2023-11-30,f
t,3,UY-CA-BelloHorizonte,UY-CA-BHE,2022-10-07,f
t,5,UY-CA-BelloHorizonte,uy;ca;bello.horizonte,2023-11-30,f
t,5,UY-CA-BelloHorizonte,uy;ca;bhe,2023-11-30,f
t,5,UY-CA-BelloHorizonte,uy;canelones;bello.horizonte,2023-11-30,f
t,5,UY-CA-Biarritz,UY-63,2023-11-30,f
t,3,UY-CA-Biarritz,UY-CA-BIA,2022-10-07,f
t,5,UY-CA-Biarritz,uy;ca;bia,2023-11-30,f
t,5,UY-CA-Biarritz,uy;ca;biarritz,2023-11-30,f
t,5,UY-CA-Biarritz,uy;canelones;biarritz,2023-11-30,f
t,5,UY-CA-Bolivar,UY-121,2023-11-30,f
t,3,UY-CA-Bolivar,UY-CA-BOL,2022-10-07,f
t,5,UY-CA-Bolivar,uy;ca;bol,2023-11-30,f
t,5,UY-CA-Bolivar,uy;ca;bolivar,2023-11-30,f
t,5,UY-CA-Bolivar,uy;canelones;bolivar,2023-11-30,f
t,5,UY-CA-CampoMilitar,UY-135,2023-11-30,f
t,3,UY-CA-CampoMilitar,UY-CA-CMR,2022-10-07,f
t,5,UY-CA-CampoMilitar,uy;ca;campo.militar,2023-11-30,f
t,5,UY-CA-CampoMilitar,uy;ca;cmr,2023-11-30,f
t,5,UY-CA-CampoMilitar,uy;canelones;campo.militar,2023-11-30,f
t,5,UY-CA-Canelones,UY-125,2023-11-30,f
t,3,UY-CA-Canelones,UY-CA-CAN,2022-10-07,f
t,5,UY-CA-Canelones,uy;ca;can,2023-11-30,f
t,5,UY-CA-Canelones,uy;ca;canelones,2023-11-30,f
t,5,UY-CA-Canelones,uy;canelones;canelones,2023-11-30,f
t,5,UY-CA-CapillaCella,UY-64,2023-11-30,f
t,3,UY-CA-CapillaCella,UY-CA-CDL,2022-10-07,f
t,5,UY-CA-CapillaCella,uy;ca;capilla.cella,2023-11-30,f
t,5,UY-CA-CapillaCella,uy;ca;cdl,2023-11-30,f
t,5,UY-CA-CapillaCella,uy;canelones;capilla.cella,2023-11-30,f
t,5,UY-CA-Carmel,UY-76,2023-11-30,f
t,3,UY-CA-Carmel,UY-CA-CAR,2022-10-07,f
t,5,UY-CA-Carmel,uy;ca;car,2023-11-30,f
t,5,UY-CA-Carmel,uy;ca;carmel,2023-11-30,f
t,5,UY-CA-Carmel,uy;canelones;carmel,2023-11-30,f
t,5,UY-CA-CarrascoSauce,UY-150,2023-11-30,f
t,3,UY-CA-CarrascoSauce,UY-CA-CDY,2022-10-07,f
t,5,UY-CA-CarrascoSauce,uy;ca;carrasco.sauce,2023-11-30,f
t,5,UY-CA-CarrascoSauce,uy;ca;cdy,2023-11-30,f
t,5,UY-CA-CarrascoSauce,uy;canelones;carrasco.sauce,2023-11-30,f
t,5,UY-CA-Casahona,UY-646,2023-11-30,f
t,3,UY-CA-Casahona,UY-CA-CAC,2022-10-07,f
t,5,UY-CA-Casahona,uy;ca;cac,2023-11-30,f
t,5,UY-CA-Casahona,uy;ca;casahona,2023-11-30,f
t,5,UY-CA-Casahona,uy;canelones;casahona,2023-11-30,f
t,5,UY-CA-Castellanos,UY-122,2023-11-30,f
t,3,UY-CA-Castellanos,UY-CA-CST,2022-10-07,f
t,5,UY-CA-Castellanos,uy;ca;castellanos,2023-11-30,f
t,5,UY-CA-Castellanos,uy;ca;cst,2023-11-30,f
t,5,UY-CA-Castellanos,uy;canelones;castellanos,2023-11-30,f
t,5,UY-CA-CeramicasSalinas,UY-51,2023-11-30,f
t,3,UY-CA-CeramicasSalinas,UY-CA-CSS,2022-10-07,f
t,5,UY-CA-CeramicasSalinas,uy;ca;ceramicas.salinas,2023-11-30,f
t,5,UY-CA-CeramicasSalinas,uy;ca;css,2023-11-30,f
t,5,UY-CA-CeramicasSalinas,uy;canelones;ceramicas.salinas,2023-11-30,f
t,5,UY-CA-CityGolf,UY-602,2023-11-30,f
t,3,UY-CA-CityGolf,UY-CA-CGF,2022-10-07,f
t,5,UY-CA-CityGolf,uy;ca;cgf,2023-11-30,f
t,5,UY-CA-CityGolf,uy;ca;city.golf,2023-11-30,f
t,5,UY-CA-CityGolf,uy;canelones;city.golf,2023-11-30,f
